[futoshiki.dat]:

[1]: 337its, 0.000000s
[2]: 91its, 0.000000s
[3]: 17its, 0.000000s
[4]: 78its, 0.001000s
[5]: 608its, 0.001000s
[6]: 34its, 0.000000s
[7]: 19its, 0.000000s
[8]: 296its, 0.001000s
[9]: 106its, 0.000000s
[10]: 142its, 0.000000s
[11]: 107its, 0.000000s
[12]: 19its, 0.000000s
[13]: 389its, 0.000000s
[14]: 38its, 0.000000s
[15]: 17its, 0.000000s
[16]: 242its, 0.001000s
[17]: 749its, 0.001000s
[18]: 1459its, 0.003000s
[19]: 175its, 0.001000s
[20]: 478its, 0.001000s
[21]: 36its, 0.000000s
[22]: 6080its, 0.010000s
[23]: 200its, 0.000000s
[24]: 40its, 0.000000s
[25]: 700its, 0.001000s
[26]: 86its, 0.000000s
[27]: 191its, 0.001000s
[28]: 305its, 0.001000s
[29]: 589its, 0.001000s
[30]: 5329its, 0.010000s
[31]: 487its, 0.001000s
[32]: 881its, 0.001000s
[33]: 6700its, 0.017000s
[34]: 1324its, 0.003000s
[35]: 853its, 0.002000s
[36]: 1948its, 0.003000s
[37]: 212910its, 0.456000s
[38]: 774its, 0.001000s
[39]: 2300its, 0.005000s
[40]: 11970its, 0.020000s
[41]: 11055its, 0.019000s
[42]: 4098its, 0.008000s
[43]: 99386its, 0.193000s
[44]: 481its, 0.001000s
[45]: 65612its, 0.086000s
[46]: 206its, 0.000000s
[47]: 538its, 0.001000s
[48]: 168its, 0.000000s
[49]: (T) 1000000its, 2.340000s
[50]: (T) 1000000its, 1.775000s
[51]: 4549its, 0.007000s
[52]: 16900its, 0.045000s
[53]: 91952its, 0.171000s
[54]: 199its, 0.000000s
[55]: 8824its, 0.019000s
[56]: 276357its, 0.576000s
[57]: 357851its, 0.858000s
[58]: 33210its, 0.075000s
[59]: 498its, 0.001000s
[60]: (T) 1000000its, 2.589000s
[61]: 1129its, 0.003000s
[62]: 36967its, 0.075000s
[63]: (T) 1000000its, 2.374000s
[64]: 194075its, 0.471000s
[65]: (T) 1000000its, 2.703000s
[66]: (T) 1000000its, 1.471000s
[67]: (T) 1000000its, 2.112000s
[68]: 110621its, 0.312000s
[69]: 29606its, 0.082000s
[70]: 268990its, 0.604000s
[71]: 420its, 0.001000s
[72]: 475079its, 1.415000s
[73]: 8805its, 0.016000s
[74]: 500004its, 1.400000s
[75]: (T) 1000000its, 2.680000s
[76]: 92163its, 0.279000s
[77]: 5699its, 0.018000s
[78]: (T) 1000000its, 2.299000s
[79]: (T) 1000000its, 2.944000s
[80]: (T) 1000000its, 2.470000s
[81]: (T) 1000000its, 1.945000s
[82]: (T) 1000000its, 3.002000s
[83]: (T) 1000000its, 2.112000s
[84]: (T) 1000000its, 3.294000s
[85]: (T) 1000000its, 2.146000s
[86]: 146921its, 0.484000s
[87]: (T) 1000000its, 2.279000s
[88]: (T) 1000000its, 2.730000s
[89]: (T) 1000000its, 2.681000s
[90]: (T) 1000000its, 2.377000s
[91]: (T) 1000000its, 2.649000s
[92]: 1515its, 0.005000s
[93]: 72566its, 0.209000s
[94]: 598003its, 1.870000s
[95]: (T) 1000000its, 2.954000s
[96]: (T) 1000000its, 2.628000s
[97]: (T) 1000000its, 2.007000s
[98]: (T) 1000000its, 2.226000s
[99]: (T) 1000000its, 3.017000s
[100]: (T) 1000000its, 2.682000s

[Average]: 0.763330s
