[futoshiki.dat]:

[1]: 828its, 0.001000s
[2]: 212its, 0.000000s
[3]: 46its, 0.000000s
[4]: 231its, 0.001000s
[5]: 1996its, 0.001000s
[6]: 96its, 0.000000s
[7]: 59its, 0.000000s
[8]: 895its, 0.000000s
[9]: 254its, 0.000000s
[10]: 425its, 0.000000s
[11]: 325its, 0.000000s
[12]: 43its, 0.000000s
[13]: 1188its, 0.000000s
[14]: 93its, 0.000000s
[15]: 41its, 0.000000s
[16]: 692its, 0.000000s
[17]: 2722its, 0.001000s
[18]: 6054its, 0.003000s
[19]: 562its, 0.000000s
[20]: 1998its, 0.001000s
[21]: 107its, 0.001000s
[22]: 21248its, 0.010000s
[23]: 502its, 0.001000s
[24]: 139its, 0.000000s
[25]: 2360its, 0.001000s
[26]: 255its, 0.000000s
[27]: 659its, 0.000000s
[28]: 1226its, 0.000000s
[29]: 2439its, 0.001000s
[30]: 18026its, 0.008000s
[31]: 1747its, 0.000000s
[32]: 1900its, 0.001000s
[33]: 28837its, 0.014000s
[34]: 5981its, 0.003000s
[35]: 2912its, 0.002000s
[36]: 6244its, 0.003000s
[37]: 864453its, 0.403000s
[38]: 3390its, 0.001000s
[39]: 9233its, 0.006000s
[40]: 36774its, 0.019000s
[41]: 36513its, 0.018000s
[42]: 17512its, 0.008000s
[43]: 416753its, 0.187000s
[44]: 1874its, 0.001000s
[45]: 190538its, 0.091000s
[46]: 661its, 0.000000s
[47]: 1669its, 0.001000s
[48]: 677its, 0.001000s
[49]: (T) 1000015its, 0.432000s
[50]: (T) 1000025its, 0.492000s
[51]: 13935its, 0.007000s
[52]: 102741its, 0.050000s
[53]: 375997its, 0.174000s
[54]: 908its, 0.000000s
[55]: 37833its, 0.017000s
[56]: (T) 1000019its, 0.477000s
[57]: (T) 1000025its, 0.421000s
[58]: 167379its, 0.090000s
[59]: 2396its, 0.001000s
[60]: (T) 1000018its, 0.425000s
[61]: 6185its, 0.003000s
[62]: 162098its, 0.075000s
[63]: (T) 1000028its, 0.475000s
[64]: (T) 1000021its, 0.437000s
[65]: (T) 1000038its, 0.447000s
[66]: (T) 1000013its, 0.455000s
[67]: (T) 1000019its, 0.438000s
[68]: 660064its, 0.308000s
[69]: 180073its, 0.088000s
[70]: (T) 1000029its, 0.474000s
[71]: 1938its, 0.001000s
[72]: (T) 1000029its, 0.447000s
[73]: 31700its, 0.016000s
[74]: (T) 1000032its, 0.477000s
[75]: (T) 1000036its, 0.468000s
[76]: 605162its, 0.288000s
[77]: 30744its, 0.016000s
[78]: (T) 1000038its, 0.523000s
[79]: (T) 1000039its, 0.452000s
[80]: (T) 1000037its, 0.480000s
[81]: (T) 1000032its, 0.487000s
[82]: (T) 1000044its, 0.474000s
[83]: (T) 1000018its, 0.455000s
[84]: (T) 1000035its, 0.474000s
[85]: (T) 1000030its, 0.468000s
[86]: (T) 1000046its, 0.455000s
[87]: (T) 1000036its, 0.529000s
[88]: (T) 1000036its, 0.443000s
[89]: (T) 1000037its, 0.500000s
[90]: (T) 1000032its, 0.601000s
[91]: (T) 1000034its, 0.565000s
[92]: 10976its, 0.005000s
[93]: 445330its, 0.333000s
[94]: (T) 1000041its, 0.572000s
[95]: (T) 1000035its, 0.548000s
[96]: (T) 1000037its, 0.982000s
[97]: (T) 1000030its, 0.660000s
[98]: (T) 1000025its, 0.493000s
[99]: (T) 1000044its, 0.522000s
[100]: (T) 1000036its, 0.549000s

[Average]: 0.198580s
