[futoshiki.dat]:

[1]: 0.001000s
[2]: 0.000000s
[3]: 0.000000s
[4]: 0.002000s
[5]: 0.002000s
[6]: 0.001000s
[7]: 0.001000s
[8]: 0.002000s
[9]: 0.001000s
[10]: 0.002000s
[11]: 0.001000s
[12]: 0.001000s
[13]: 0.001000s
[14]: 0.001000s
[15]: 0.002000s
[16]: 0.001000s
[17]: 0.002000s
[18]: 0.006000s
[19]: 0.001000s
[20]: 0.002000s
[21]: 0.001000s
[22]: 0.011000s
[23]: 0.002000s
[24]: 0.001000s
[25]: 0.002000s
[26]: 0.001000s
[27]: 0.002000s
[28]: 0.001000s
[29]: 0.001000s
[30]: 0.010000s
[31]: 0.004000s
[32]: 0.001000s
[33]: 0.014000s
[34]: 0.004000s
[35]: 0.001000s
[36]: 0.004000s
[37]: 0.466000s
[38]: 0.001000s
[39]: 0.005000s
[40]: 0.020000s
[41]: 0.021000s
[42]: 0.009000s
[43]: 0.199000s
[44]: 0.001000s
[45]: 0.090000s
[46]: 0.001000s
[47]: 0.001000s
[48]: 0.000000s
[T][49]: 3.103000s
[T][50]: 3.548000s
[51]: 0.008000s
[52]: 0.046000s
[53]: 0.175000s
[54]: 0.001000s
[55]: 0.019000s
[56]: 0.587000s
[57]: 0.897000s
[58]: 0.078000s
[59]: 0.001000s
[T][60]: 2.701000s
[61]: 0.002000s
[62]: 0.077000s
[T][63]: 3.461000s
[64]: 0.498000s
[T][65]: 3.233000s
[T][66]: 3.754000s
[T][67]: 3.513000s
[68]: 0.306000s
[69]: 0.084000s
[70]: 0.628000s
[71]: 0.001000s
[72]: 1.504000s
[73]: 0.018000s
[74]: 1.546000s
[T][75]: 3.451000s
[76]: 0.291000s
[77]: 0.015000s
[T][78]: 4.144000s
[T][79]: 3.061000s
[T][80]: 4.002000s
[T][81]: 4.376000s
[T][82]: 4.314000s
[T][83]: 4.471000s
[T][84]: 3.641000s
[T][85]: 3.882000s
[86]: 0.487000s
[T][87]: 4.747000s
[T][88]: 4.060000s
[T][89]: 4.112000s
[T][90]: 4.417000s
[T][91]: 3.352000s
[92]: 0.005000s
[93]: 0.224000s
[94]: 1.870000s
[T][95]: 4.275000s
[T][96]: 4.344000s
[T][97]: 4.266000s
[T][98]: 3.284000s
[T][99]: 3.987000s
[T][100]: 4.085000s

[Average]: 1.138560s
