[futoshiki.dat]:

[1]: 214its, 0.001000s
[2]: 60its, 0.000000s
[3]: 19its, 0.000000s
[4]: 69its, 0.001000s
[5]: 506its, 0.002000s
[6]: 31its, 0.000000s
[7]: 26its, 0.000000s
[8]: 234its, 0.000000s
[9]: 71its, 0.001000s
[10]: 121its, 0.000000s
[11]: 89its, 0.000000s
[12]: 19its, 0.000000s
[13]: 304its, 0.001000s
[14]: 31its, 0.001000s
[15]: 18its, 0.000000s
[16]: 180its, 0.000000s
[17]: 595its, 0.002000s
[18]: 1237its, 0.003000s
[19]: 124its, 0.001000s
[20]: 477its, 0.001000s
[21]: 33its, 0.000000s
[22]: 4262its, 0.010000s
[23]: 114its, 0.000000s
[24]: 43its, 0.000000s
[25]: 487its, 0.002000s
[26]: 63its, 0.000000s
[27]: 157its, 0.000000s
[28]: 276its, 0.001000s
[29]: 547its, 0.001000s
[30]: 3626its, 0.011000s
[31]: 364its, 0.000000s
[32]: 391its, 0.002000s
[33]: 5096its, 0.015000s
[34]: 1217its, 0.003000s
[35]: 504its, 0.001000s
[36]: 1073its, 0.002000s
[37]: 147407its, 0.429000s
[38]: 617its, 0.002000s
[39]: 1619its, 0.005000s
[40]: 6145its, 0.018000s
[41]: 7702its, 0.017000s
[42]: 2936its, 0.008000s
[43]: 73561its, 0.216000s
[44]: 381its, 0.001000s
[45]: 31932its, 0.086000s
[46]: 134its, 0.000000s
[47]: 318its, 0.001000s
[48]: 134its, 0.000000s
[49]: (T) 1000020its, 3.802000s
[50]: (T) 1000031its, 3.610000s
[51]: 2020its, 0.007000s
[52]: 14923its, 0.046000s
[53]: 54336its, 0.199000s
[54]: 161its, 0.000000s
[55]: 5909its, 0.017000s
[56]: 195845its, 0.634000s
[57]: 350548its, 1.047000s
[58]: 25800its, 0.085000s
[59]: 366its, 0.001000s
[60]: (T) 1000015its, 3.377000s
[61]: 917its, 0.003000s
[62]: 23341its, 0.084000s
[63]: (T) 1000036its, 4.288000s
[64]: 164775its, 0.656000s
[65]: (T) 1000029its, 4.099000s
[66]: (T) 1000050its, 4.065000s
[67]: (T) 1000035its, 4.362000s
[68]: 93230its, 0.329000s
[69]: 22719its, 0.085000s
[70]: 162518its, 0.645000s
[71]: 292its, 0.001000s
[72]: 445954its, 1.459000s
[73]: 4124its, 0.017000s
[74]: 370648its, 1.586000s
[75]: (T) 1000044its, 4.213000s
[76]: 75901its, 0.310000s
[77]: 3937its, 0.017000s
[78]: (T) 1000046its, 4.405000s
[79]: (T) 1000054its, 3.586000s
[80]: (T) 1000033its, 4.450000s
[81]: (T) 1000034its, 4.795000s
[82]: (T) 1000046its, 4.915000s
[83]: (T) 1000058its, 5.431000s
[84]: (T) 1000041its, 4.645000s
[85]: (T) 1000052its, 4.785000s
[86]: 120272its, 0.517000s
[87]: (T) 1000059its, 5.794000s
[88]: (T) 1000072its, 4.709000s
[89]: (T) 1000058its, 5.139000s
[90]: (T) 1000057its, 5.533000s
[91]: (T) 1000045its, 4.149000s
[92]: 1615its, 0.008000s
[93]: 53686its, 0.266000s
[94]: 548553its, 2.196000s
[95]: (T) 1000062its, 5.789000s
[96]: (T) 1000052its, 5.042000s
[97]: (T) 1000074its, 4.448000s
[98]: (T) 1000060its, 3.088000s
[99]: (T) 1000049its, 4.114000s
[100]: (T) 1000058its, 4.201000s

[Average]: 1.318940s
